branch_code,voucher_id,voucher_no,voucher_type,voucher_date,line_no,ledger_code,ledger_name,debit,credit,party_code,party_name,payment_method,tax_bucket,narration,reference_no,created_at,modified_at
PILOT01,EG-PUR-001,PUR/2026/001,PURCHASE,2026-04-01,1,LEDG-1004,Purchases,5053.00,0.00,V-PARTY-001,Synthetic Vendor 001,,GST5,Synthetic purchase bill (fixture),REF-PUR-001,2026-04-01T09:00:00+05:30,2026-04-01T09:00:00+05:30
PILOT01,EG-PUR-001,PUR/2026/001,PURCHASE,2026-04-01,2,LEDG-1005,Accounts Payable - Trade,0.00,5053.00,V-PARTY-001,Synthetic Vendor 001,,GST5,Synthetic purchase bill (fixture),REF-PUR-001,2026-04-01T09:00:00+05:30,2026-04-01T09:00:00+05:30
PILOT01,EG-REC-001,REC/2026/001,RECEIPT,2026-04-03,1,LEDG-1002,Bank - Current Account,9296.50,0.00,C-PARTY-001,Synthetic Customer 001,UPI,NA,Synthetic customer receipt (fixture),REF-REC-001,2026-04-03T09:00:00+05:30,2026-04-03T09:00:00+05:30
PILOT01,EG-REC-001,REC/2026/001,RECEIPT,2026-04-03,2,LEDG-1006,Accounts Receivable - Trade,0.00,9296.50,C-PARTY-001,Synthetic Customer 001,UPI,NA,Synthetic customer receipt (fixture),REF-REC-001,2026-04-03T09:00:00+05:30,2026-04-03T09:00:00+05:30
PILOT01,EG-CRN-004,CRN/2026/004,CREDIT_NOTE,2026-04-07,1,LEDG-1011,Sales Returns,7639.00,0.00,C-PARTY-004,Synthetic Customer 004,,EXEMPT,Synthetic customer credit note (fixture),REF-CRN-004,2026-04-07T09:00:00+05:30,2026-04-07T09:00:00+05:30
PILOT01,EG-CRN-004,CRN/2026/004,CREDIT_NOTE,2026-04-07,2,LEDG-1006,Accounts Receivable - Trade,0.00,7639.00,C-PARTY-004,Synthetic Customer 004,,EXEMPT,Synthetic customer credit note (fixture),REF-CRN-004,2026-04-07T09:00:00+05:30,2026-04-07T09:00:00+05:30
PILOT01,EG-PUR-002,PUR/2026/002,PURCHASE,2026-04-08,1,LEDG-1004,Purchases,37639.00,0.00,V-PARTY-002,Synthetic Vendor 002,,GST12,Synthetic purchase bill (fixture),REF-PUR-002,2026-04-08T09:00:00+05:30,2026-04-08T09:00:00+05:30
PILOT01,EG-PUR-002,PUR/2026/002,PURCHASE,2026-04-08,2,LEDG-1005,Accounts Payable - Trade,0.00,37639.00,V-PARTY-002,Synthetic Vendor 002,,GST12,Synthetic purchase bill (fixture),REF-PUR-002,2026-04-08T09:00:00+05:30,2026-04-08T09:00:00+05:30
PILOT01,EG-JRN-001,JRN/2026/001,JOURNAL,2026-04-09,1,LEDG-1013,Journal Suspense,9191.00,0.00,,,,NA,Synthetic journal adjustment (fixture),REF-JRN-001,2026-04-09T09:00:00+05:30,2026-04-09T09:00:00+05:30
PILOT01,EG-JRN-001,JRN/2026/001,JOURNAL,2026-04-09,2,LEDG-1010,GST Payable,0.00,9191.00,,,,NA,Synthetic journal adjustment (fixture),REF-JRN-001,2026-04-09T09:00:00+05:30,2026-04-09T09:00:00+05:30
