branch_code,ledger_code,ledger_name,opening_debit,opening_credit,period_debit,period_credit,closing_debit,closing_credit,txn_count
PILOT01,LEDG-1001,Cash,50000.00,0.00,75986.50,51979.00,125986.50,51979.00,15
PILOT01,LEDG-1002,Bank - Current Account,200000.00,0.00,60101.00,90914.50,260101.00,90914.50,12
PILOT01,LEDG-1003,Sales Revenue - B2C,0.00,0.00,0.00,25800.50,0.00,25800.50,5
PILOT01,LEDG-1004,Purchases,0.00,0.00,82564.00,0.00,82564.00,0.00,4
PILOT01,LEDG-1005,Accounts Payable - Trade,0.00,75000.00,108364.00,82564.00,108364.00,157564.00,12
PILOT01,LEDG-1006,Accounts Receivable - Trade,60000.00,0.00,0.00,122236.00,60000.00,122236.00,10
PILOT01,LEDG-1007,Office Expenses,0.00,0.00,11318.50,0.00,11318.50,0.00,3
PILOT01,LEDG-1008,Utilities Expenses,0.00,0.00,5970.00,0.00,5970.00,0.00,1
PILOT01,LEDG-1009,Inventory - Stock,30000.00,0.00,2500.00,0.00,32500.00,0.00,1
PILOT01,LEDG-1010,GST Payable,0.00,15000.00,0.00,21429.00,0.00,36429.00,2
PILOT01,LEDG-1011,Sales Returns,0.00,0.00,34577.00,0.00,34577.00,0.00,4
PILOT01,LEDG-1012,Purchase Returns,0.00,0.00,0.00,7137.00,0.00,7137.00,3
PILOT01,LEDG-1013,Journal Suspense,0.00,0.00,21429.00,2500.00,21429.00,2500.00,3
PILOT01,LEDG-1014,Owner's Capital / Retained Earnings,0.00,250000.00,0.00,0.00,0.00,250000.00,0
PILOT01,LEDG-1099,Misc Expense - Unmapped,0.00,0.00,1750.00,0.00,1750.00,0.00,1
